height,weight,label
141,89,비만
155,37,저체중
174,80,비만
172,51,저체중
168,89,비만
123,88,비만
196,37,저체중
163,38,저체중
123,63,비만
135,84,비만
140,36,저체중
134,58,비만
170,48,저체중
174,51,저체중
184,87,비만
128,45,비만
155,81,비만
165,84,비만
121,48,비만
158,76,비만
178,46,저체중
195,80,정상
172,62,정상
169,38,저체중
176,54,저체중
128,82,비만
126,68,비만
134,47,비만
121,56,비만
123,52,비만
140,69,비만
196,47,저체중
172,62,정상
135,41,정상
130,81,비만
153,52,정상
161,49,정상
190,83,정상
129,88,비만
130,39,정상
161,65,비만
128,50,비만
185,57,저체중
180,71,정상
135,81,비만
154,80,비만
183,72,정상
168,52,저체중
193,85,정상
143,60,비만
143,69,비만
174,77,비만
143,51,정상
129,60,비만
122,65,비만
138,90,비만
197,72,정상
187,38,저체중
144,48,정상
157,51,정상
137,51,비만
152,63,비만
160,40,저체중
131,36,정상
185,42,저체중
178,50,저체중
128,84,비만
137,58,비만
195,69,저체중
178,75,정상
186,35,저체중
139,80,비만
120,41,비만
124,78,비만
162,56,정상
200,53,저체중
183,84,비만
199,59,저체중
196,68,저체중
130,48,비만
186,70,정상
198,87,정상
174,37,저체중
193,54,저체중
132,85,비만
161,52,정상
140,71,비만
186,70,정상
197,37,저체중
172,78,비만
132,87,비만
154,47,정상
151,39,저체중
149,84,비만
153,87,비만
148,78,비만
153,36,저체중
197,56,저체중
150,41,저체중
186,51,저체중
135,64,비만
133,88,비만
150,60,비만
122,48,비만
198,39,저체중
161,77,비만
125,76,비만
196,55,저체중
162,77,비만
131,90,비만
132,88,비만
129,58,비만
152,50,정상
164,66,정상
166,84,비만
126,51,비만
195,54,저체중
143,88,비만
131,89,비만
147,89,비만
176,53,저체중
175,67,정상
146,72,비만
144,69,비만
133,45,비만
189,66,저체중
191,76,정상
185,68,정상
179,53,저체중
138,75,비만
189,73,정상
143,45,정상
157,56,정상
170,38,저체중
153,54,정상
197,58,저체중
190,88,정상
176,79,비만
157,39,저체중
181,46,저체중
153,71,비만
151,76,비만
166,62,정상
196,53,저체중
173,85,비만
188,75,정상
178,67,정상
174,90,비만
180,38,저체중
139,50,비만
143,61,비만
141,44,정상
158,77,비만
160,44,저체중
128,66,비만
166,56,정상
126,64,비만
174,80,비만
152,53,정상
127,64,비만
187,43,저체중
132,44,비만
130,72,비만
169,60,정상
127,50,비만
134,43,정상
166,36,저체중
140,39,정상
145,43,정상
183,70,정상
132,62,비만
159,73,비만
124,39,비만
172,66,정상
170,39,저체중
163,58,정상
174,87,비만
124,42,비만
126,79,비만
137,55,비만
172,48,저체중
149,80,비만
158,88,비만
159,44,저체중
178,59,정상
160,66,비만
136,61,비만
171,89,비만
180,74,정상
178,61,정상
142,84,비만
170,72,정상
188,73,정상
135,35,정상
198,62,저체중
168,88,비만
200,55,저체중
166,54,정상
147,64,비만
193,71,정상
131,36,정상
140,66,비만
133,77,비만
184,58,저체중
125,52,비만
144,84,비만
164,67,정상
120,61,비만
123,66,비만
145,58,비만
173,68,정상
167,42,저체중
179,60,정상
132,39,정상
141,68,비만
188,58,저체중
168,44,저체중
133,69,비만
186,70,정상
149,49,정상
167,49,저체중
186,35,저체중
129,52,비만
155,66,비만
188,83,정상
154,60,비만
196,44,저체중
122,52,비만
122,70,비만
131,77,비만
182,76,정상
141,45,정상
164,37,저체중
191,45,저체중
163,47,저체중
136,54,비만
195,59,저체중
136,72,비만
149,67,비만
136,58,비만
154,41,저체중
133,89,비만
159,59,정상
160,89,비만
184,57,저체중
135,37,정상
199,80,정상
158,54,정상
172,61,정상
180,50,저체중
124,88,비만
143,84,비만
140,76,비만
134,77,비만
139,36,정상
134,48,비만
179,45,저체중
134,88,비만
162,55,정상
185,54,저체중
171,47,저체중
176,83,비만
188,46,저체중
146,47,정상
196,49,저체중
151,47,정상
156,65,비만
179,46,저체중
141,73,비만
176,83,비만
156,70,비만
183,51,저체중
149,65,비만
182,82,정상
131,51,비만
181,40,저체중
190,69,정상
143,51,정상
172,46,저체중
169,42,저체중
158,86,비만
131,79,비만
149,83,비만
199,64,저체중
126,80,비만
184,57,저체중
163,60,정상
155,73,비만
149,35,저체중
161,86,비만
159,67,비만
155,86,비만
152,83,비만
120,83,비만
132,82,비만
168,48,저체중
136,79,비만
145,64,비만
172,88,비만
151,84,비만
187,85,정상
159,59,정상
146,37,저체중
172,46,저체중
147,70,비만
137,67,비만
197,55,저체중
191,85,정상
176,43,저체중
146,40,정상
164,49,저체중
126,67,비만
191,42,저체중
142,37,저체중
174,42,저체중
166,70,비만
159,55,정상
143,58,비만
197,82,정상
120,64,비만
129,56,비만
171,77,비만
175,53,저체중
166,85,비만
189,43,저체중
186,63,저체중
198,72,저체중
135,72,비만
143,37,저체중
151,79,비만
138,48,비만
122,90,비만
194,89,정상
122,35,정상
194,47,저체중
197,73,정상
199,49,저체중
132,90,비만
160,42,저체중
142,61,비만
177,87,비만
184,36,저체중
158,43,저체중
162,75,비만
136,55,비만
143,46,정상
170,57,정상
125,64,비만
143,81,비만
136,61,비만
178,81,비만
135,85,비만
143,88,비만
154,52,정상
151,63,비만
163,75,비만
179,74,정상
163,46,저체중
181,74,정상
178,43,저체중
145,43,정상
181,41,저체중
168,40,저체중
187,88,비만
131,78,비만
181,41,저체중
179,48,저체중
125,39,정상
135,70,비만
141,86,비만
156,45,저체중
182,87,비만
168,76,비만
123,49,비만
180,50,저체중
176,40,저체중
153,84,비만
133,42,정상
126,86,비만
192,59,저체중
168,82,비만
135,56,비만
182,60,저체중
150,37,저체중
183,42,저체중
196,44,저체중
169,82,비만
161,75,비만
197,42,저체중
142,64,비만
165,69,비만
160,49,정상
191,70,정상
165,48,저체중
167,45,저체중
196,72,정상
196,46,저체중
156,61,비만
174,40,저체중
125,89,비만
194,59,저체중
131,52,비만
183,89,비만
149,85,비만
188,48,저체중
191,83,정상
127,85,비만
156,54,정상
129,47,비만
177,85,비만
122,60,비만
186,49,저체중
132,36,정상
173,69,정상
176,77,정상
150,46,정상
173,57,정상
150,76,비만
198,46,저체중
181,61,정상
189,73,정상
157,59,정상
147,70,비만
138,44,정상
146,66,비만
153,82,비만
139,37,정상
137,80,비만
178,90,비만
189,55,저체중
141,35,저체중
154,58,정상
126,36,정상
129,75,비만
196,83,정상
134,87,비만
177,85,비만
130,48,비만
196,81,정상
179,49,저체중
192,62,저체중
168,37,저체중
137,89,비만
146,48,정상
182,47,저체중
169,55,정상
174,42,저체중
165,45,저체중
170,89,비만
127,49,비만
177,63,정상
136,82,비만
184,66,정상
180,76,정상
130,40,정상
154,48,정상
136,38,정상
165,55,정상
121,62,비만
157,43,저체중
146,85,비만
183,46,저체중
120,39,비만
197,83,정상
166,90,비만
192,86,정상
172,59,정상
184,84,정상
176,45,저체중
189,80,정상
194,68,저체중
188,75,정상
156,72,비만
177,41,저체중
134,36,정상
128,48,비만
181,55,저체중
192,53,저체중
192,43,저체중
186,89,비만
154,57,정상
179,88,비만
138,88,비만
138,65,비만
124,60,비만
158,80,비만
200,49,저체중
139,58,비만
170,68,정상
193,74,정상
193,60,저체중
170,53,저체중
159,74,비만
125,78,비만
139,56,비만
170,80,비만
181,65,정상
154,61,비만
143,80,비만
187,39,저체중
135,56,비만
164,87,비만
155,75,비만
140,41,정상
146,88,비만
125,39,정상
147,78,비만
148,67,비만
190,90,정상
177,63,정상
192,87,정상
157,75,비만
122,77,비만
150,84,비만
148,90,비만
128,81,비만
132,70,비만
182,65,정상
191,89,정상
129,51,비만
186,69,정상
131,74,비만
145,52,정상
180,77,정상
189,52,저체중
177,61,정상
159,78,비만
178,69,정상
126,38,정상
183,72,정상
124,87,비만
178,66,정상
155,83,비만
198,61,저체중
125,54,비만
178,75,정상
197,60,저체중
156,46,정상
159,65,비만
139,62,비만
120,88,비만
200,70,저체중
131,86,비만
200,44,저체중
127,39,정상
188,65,저체중
131,48,비만
189,87,정상
159,90,비만
199,76,정상
147,49,정상
163,48,저체중
195,85,정상
200,82,정상
197,59,저체중
135,50,비만
146,74,비만
178,62,정상
171,43,저체중
173,78,비만
200,39,저체중
154,81,비만
160,74,비만
158,48,정상
177,45,저체중
175,49,저체중
135,72,비만
134,66,비만
177,45,저체중
122,42,비만
165,46,저체중
157,74,비만
182,47,저체중
122,57,비만
148,85,비만
161,81,비만
194,35,저체중
160,61,정상
122,37,정상
149,80,비만
176,69,정상
130,60,비만
185,83,정상
166,73,비만
161,87,비만
198,40,저체중
177,39,저체중
